iter	RMSE
550	46572.07332
551	46563.5722
552	46553.18953
553	46542.19731
554	46532.77361
555	46522.82592
556	46515.62927
557	46501.28967
558	46492.59043
559	46482.57734
560	46465.44367
561	46455.31318
562	46442.69631
563	46431.68186
564	46425.53901
565	46416.76719
566	46410.40803
567	46395.35883
568	46384.89705
569	46376.48016
570	46367.82068
571	46357.66192
572	46350.71358
573	46335.34531
574	46326.30102
575	46315.69625
576	46305.31729
577	46296.94215
578	46282.84767
579	46270.26781
580	46254.07823
581	46245.56518
582	46232.83146
583	46226.21063
584	46216.04007
585	46207.46646
586	46201.27631
587	46191.62478
588	46174.94845
589	46167.24603
590	46154.035
591	46143.75151
592	46134.32346
593	46121.68731
594	46113.96708
595	46100.06026
596	46094.04993
597	46084.82772
598	46074.89615
599	46065.11145
600	46052.05314
601	46040.99095
602	46033.90211
603	46022.66397
604	46013.60969
605	45998.86877
606	45990.38066
607	45976.0822
608	45965.12033
609	45953.75451
610	45942.99656
611	45930.08666
612	45918.79365
613	45904.70475
614	45892.68743
615	45878.37189
616	45861.84091
617	45852.67987
618	45838.02295
619	45829.74644
620	45820.85457
621	45805.92085
622	45793.56031
623	45786.19697
624	45778.70101
625	45767.72503
626	45758.15855
627	45750.86939
628	45737.39495
629	45728.31883
630	45723.41323
631	45714.07325
632	45706.54882
633	45697.04236
634	45688.92238
635	45673.71112
636	45662.754
637	45645.36845
638	45639.38275
639	45632.53561
640	45622.86593
641	45617.60874
642	45610.76419
643	45604.92682
644	45598.04916
645	45586.2538
646	45576.47148
647	45568.20146
648	45558.6705
649	45547.14161
650	45538.65515
651	45524.25005
652	45518.15066
653	45507.22797
654	45503.83989
655	45483.56536
656	45474.44341
657	45466.21941
658	45455.05302
659	45443.56938
660	45430.62482
661	45423.8475
662	45414.01137
663	45407.10265
664	45390.5294
665	45386.05346
666	45380.48944
667	45372.0069
668	45365.52891
669	45357.17289
670	45346.85969
671	45342.59436
672	45331.29839
673	45321.37122
674	45315.98172
675	45308.44049
676	45299.3581
677	45294.82748
678	45288.64357
679	45281.84556
680	45273.45847
681	45263.99867
682	45255.7117
683	45242.10064
684	45237.52738
685	45229.89067
686	45222.25839
687	45215.26129
688	45208.58903
689	45202.05253
690	45197.00407
691	45182.88339
692	45173.19824
693	45165.90559
694	45160.03944
695	45155.70603
696	45144.52943
697	45136.20865
698	45123.35391
699	45105.95772
700	45096.48421
701	45086.09526
702	45080.93388
703	45067.37846
704	45062.27802
705	45053.35388
706	45044.45104
707	45034.09646
708	45026.34088
709	45016.92071
710	45004.05235
711	44996.26511
712	44987.46173
713	44976.96735
714	44971.07847
715	44966.19307
716	44955.28653
717	44945.55101
718	44936.78864
719	44929.26442
720	44920.58407
721	44910.96226
722	44903.62651
723	44890.39269
724	44882.14127
725	44872.08758
726	44865.7087
727	44856.89508
728	44844.37344
729	44839.20553
730	44833.96933
731	44825.44773
732	44821.77415
733	44811.70873
734	44802.35224
735	44791.40884
736	44778.88605
737	44771.13728
738	44762.63113
739	44752.44845
740	44747.7796
741	44739.68347
742	44732.62097
743	44720.93147
744	44705.78473
745	44694.6141
746	44688.49721
747	44681.40731
748	44677.75757
749	44660.84015
750	44643.03241
751	44638.27898
752	44633.23403
753	44623.6737
754	44616.08372
755	44608.51035
756	44595.38496
757	44587.08502
758	44576.05293
759	44567.18498
760	44559.19076
761	44550.72061
762	44540.96863
763	44526.81265
764	44518.65128
765	44512.10381
766	44499.48055
767	44490.50276
768	44476.25082
769	44471.5034
770	44463.93508
771	44455.33437
772	44451.13179
773	44436.8754
774	44429.5831
775	44423.01465
776	44412.1498
777	44406.63855
778	44395.40627
779	44387.75483
780	44376.51337
781	44367.28494
782	44354.8969
783	44346.55446
784	44339.78846
785	44332.54246
786	44325.78607
787	44321.13038
788	44316.47894
789	44307.90452
790	44304.44652
791	44299.92044
792	44290.52814
793	44285.49939
794	44277.32562
795	44267.46379
796	44260.90985
797	44252.54316
798	44243.85241
799	44232.36388
800	44228.0799
801	44222.57507
802	44212.09768
803	44204.19658
804	44195.28837
805	44184.68751
806	44171.66157
807	44161.28599
808	44155.27754
809	44145.1881
810	44135.57775
811	44127.76603
812	44121.97053
813	44113.70834
814	44106.91385
815	44100.79848
816	44089.12684
817	44079.78048
818	44068.3576
819	44061.61739
820	44055.15601
821	44049.28033
822	44037.07307
823	44030.19455
824	44023.93184
825	44019.15168
826	44010.64876
827	43996.72972
828	43988.83124
829	43980.30872
830	43974.8741
831	43964.53836
832	43953.13458
833	43943.54004
834	43932.1541
835	43927.91217
836	43919.81444
837	43915.40572
838	43906.8037
839	43901.29808
840	43896.07698
841	43891.37897
842	43878.55376
843	43873.96182
844	43868.04324
845	43861.99389
846	43857.30811
847	43854.35052
848	43849.07257
849	43842.71069
850	43837.52543
851	43831.83348
852	43823.19066
853	43815.24234
854	43808.71952
855	43798.72447
856	43788.43
857	43776.62743
858	43765.92967
859	43758.51622
860	43748.72327
861	43744.19653
862	43738.69447
863	43731.16205
864	43718.95393
865	43714.71987
866	43707.94827
867	43698.51553
868	43692.04362
869	43682.46705
870	43674.7272
871	43664.57425
872	43658.34855
873	43651.50281
874	43645.32387
875	43631.81185
876	43625.8244
877	43616.56147
878	43611.31137
879	43603.18767
880	43595.03927
881	43584.78715
882	43579.89941
883	43566.7862
884	43562.55715
885	43556.57534
886	43551.67568
887	43544.81663
888	43537.60438
889	43530.98466
890	43528.16315
891	43522.00097
892	43516.9651
893	43512.60703
894	43508.30061
895	43501.31797
896	43492.08617
897	43483.52416
898	43475.47123
899	43465.29866
900	43457.54619
901	43448.68882
902	43441.78378
903	43433.77524
904	43428.00192
905	43422.37817
906	43418.72162
907	43407.74857
908	43403.21077
909	43391.68786
910	43384.85
911	43378.50372
912	43372.61564
913	43364.40432
914	43354.93315
915	43348.30383
916	43341.44514
917	43334.7273
918	43330.04118
919	43323.12593
920	43318.80369
921	43310.83273
922	43304.8545
923	43295.29217
924	43289.58381
925	43283.80524
926	43277.28366
927	43270.47039
928	43256.23516
929	43245.64617
930	43238.35337
931	43229.78425
932	43224.05975
933	43219.49063
934	43215.81238
935	43209.03335
936	43204.4545
937	43197.18579
938	43187.46085
939	43182.27449
940	43175.15345
941	43165.67266
942	43155.25322
943	43146.41555
944	43141.26128
945	43136.10068
946	43127.47833
947	43121.00687
948	43114.07877
949	43106.8059
950	43100.0218
951	43090.96744
952	43084.70798
953	43079.61717
954	43071.80975
955	43066.71501
956	43062.08544
957	43056.16462
958	43050.47883
959	43042.52888
960	43034.5139
961	43027.13758
962	43021.12207
963	43014.85197
964	43005.77403
965	42998.70957
966	42992.25089
967	42981.90518
968	42972.32139
969	42967.22499
970	42959.1913
971	42954.7567
972	42950.44683
973	42944.33722
974	42936.78034
975	42928.63177
976	42921.77695
977	42916.13964
978	42908.9519
979	42901.29902
980	42897.52961
981	42894.77859
982	42890.01457
983	42880.00775
984	42871.25129
985	42863.89202
986	42856.70424
987	42848.65183
988	42839.95574
989	42824.7815
990	42820.29973
991	42814.54796
992	42809.90775
993	42804.99613
994	42793.25614
995	42779.81609
996	42774.19246
997	42768.48278
998	42760.4777
999	42756.03343
