iter	Passed	Remaining
441	1263	1595
442	1266	1592
443	1269	1589
444	1272	1587
445	1275	1584
446	1278	1581
447	1282	1579
448	1284	1576
449	1287	1573
450	1290	1570
451	1292	1567
452	1295	1563
453	1297	1560
454	1299	1557
455	1302	1553
456	1305	1551
457	1307	1547
458	1310	1544
459	1312	1540
460	1315	1537
461	1317	1534
462	1320	1531
463	1323	1528
464	1325	1524
465	1327	1521
466	1329	1517
467	1332	1514
468	1334	1511
469	1336	1507
470	1339	1504
471	1341	1500
472	1344	1497
473	1346	1494
474	1348	1490
475	1351	1487
476	1353	1483
477	1355	1480
478	1358	1477
479	1360	1473
480	1362	1470
481	1365	1467
482	1367	1463
483	1370	1460
484	1372	1457
485	1375	1454
486	1378	1451
487	1380	1448
488	1382	1445
489	1385	1442
490	1388	1438
491	1390	1435
492	1392	1432
493	1395	1429
494	1397	1426
495	1400	1422
496	1403	1420
497	1405	1416
498	1408	1413
499	1410	1410
500	1413	1407
501	1415	1404
502	1417	1400
503	1420	1397
504	1422	1394
505	1425	1391
506	1427	1388
507	1430	1385
508	1432	1382
509	1435	1379
510	1438	1376
511	1440	1373
512	1443	1370
513	1445	1367
514	1448	1364
515	1451	1361
516	1453	1357
517	1455	1354
518	1458	1351
519	1460	1348
520	1463	1345
521	1465	1342
522	1468	1339
523	1470	1335
524	1472	1332
525	1475	1329
526	1478	1326
527	1480	1323
528	1482	1320
529	1485	1316
530	1487	1313
531	1489	1310
532	1492	1307
533	1494	1304
534	1496	1300
535	1499	1297
536	1501	1294
537	1503	1291
538	1506	1288
539	1508	1285
540	1511	1282
541	1513	1279
542	1516	1275
543	1518	1272
544	1520	1269
545	1523	1266
546	1525	1263
547	1528	1260
548	1530	1257
549	1533	1254
550	1536	1251
551	1538	1248
552	1540	1245
553	1542	1242
554	1545	1239
555	1547	1235
556	1549	1232
557	1552	1229
558	1554	1226
559	1556	1223
560	1559	1220
561	1561	1217
562	1564	1214
563	1566	1211
564	1569	1208
565	1571	1205
566	1574	1202
567	1576	1199
568	1579	1196
569	1581	1193
